x,y
4.9,-5.846823029398122
4.95,-5.7049704259153415
5.0,-5.688921840983177
5.050000000000001,-5.474276140076953
5.1000000000000005,-5.3822172576963565
5.15,-5.287948132472865
5.2,-5.178415537528711
5.25,-4.999726428591045
5.300000000000001,-4.888789612596156
5.3500000000000005,-4.838798336465708
5.4,-4.819139217400845
5.45,-4.7982475943433816
5.5,-4.673817984505369
5.550000000000001,-4.690242362411679
5.6000000000000005,-4.664603423319006
5.65,-4.631285587164042
5.7,-4.643542768496741
5.75,-4.6069996950268495
5.800000000000001,-4.578783721336357
5.8500000000000005,-4.5293700617585255
5.9,-4.600962530577249
5.95,-4.443838006880682
6.0,-4.40920365553051
6.050000000000001,-4.389530687186843
6.1000000000000005,-4.336928985359173
6.15,-4.357707515803458
6.2,-4.230707484243588
6.25,-4.167996170754248
6.300000000000001,-4.161482011048249
6.3500000000000005,-4.010715193895706
6.4,-4.034702476894513
6.45,-3.871182657033423
6.5,-3.849561676465797
6.550000000000001,-3.6534747346776757
6.6000000000000005,-3.516772288797266
6.65,-3.565564564745377
6.7,-3.3881690007363314
6.75,-3.260472567435683
6.800000000000001,-3.2443727887869276
6.8500000000000005,-3.1338046325522235
6.9,-2.9842730331294147
6.95,-2.958973187605752
7.0,-2.9045350374821344
7.050000000000001,-2.6744896736351733
7.1000000000000005,-2.634008768466868
7.15,-2.5315914472832306
7.2,-2.565524082293566
7.25,-2.4796264639397294
7.300000000000001,-2.421367492538797
7.3500000000000005,-2.5180519687968954
7.4,-2.4078194567204187
7.45,-2.3141362568264494
7.5,-2.392331685255769
7.550000000000001,-2.2237372150827173
7.6000000000000005,-2.2233392663702354
7.65,-2.2249094659687136
7.7,-2.14883614334318
7.75,-2.2807807577009833
7.800000000000001,-2.2096472440819808
7.8500000000000005,-2.2172956228709118
7.9,-2.1375028751412115
7.95,-2.1681727542334324
8.0,-2.1647414707034414
8.05,-2.1079072274548953
8.1,-2.1806790988370754
8.15,-2.017715542631945
8.200000000000001,-2.0873807406637757
8.25,-1.9846514076818225
8.3,-2.0007732672033858
8.35,-1.9450831139407392
8.4,-1.919288602222446
8.450000000000001,-1.9316671277528177
8.5,-1.720996070404306
8.55,-1.7615930190364206
8.6,-1.6817703560343251
8.65,-1.5828911345543712
8.700000000000001,-1.6573022263897652
8.75,-1.561403709691758
8.8,-1.584046879812365
8.85,-1.5372982801244945
8.9,-1.3884877623684981
8.950000000000001,-1.4086843146470904
9.0,-1.3013839531961002
9.05,-1.3540417099125668
9.1,-1.2154903349645092
9.15,-1.1875097927290068
9.200000000000001,-1.2392134221851192
9.25,-1.053238042995817
9.3,-1.0238774999895714
9.35,-1.0888622463523796
9.4,-0.9522097472242204
9.450000000000001,-1.009537290209286
9.5,-1.016870554474237
9.55,-0.9594556838090366
9.600000000000001,-0.8593556377817142
9.65,-0.858695384684768
9.700000000000001,-0.9532455106200879
9.75,-0.9074125454885429
9.8,-0.8822459266394894
9.850000000000001,-0.780378653188236
9.9,-0.8110528563873485
9.950000000000001,-0.8199411244277246
